Rank,Player,Position,2018 team,2019 team,Rank change,Reference,Year accomplishments
1,Aaron Donald,Defensive tackle,Los Angeles Rams,,6,[1],"- 5th Pro Bowl selection
   - 4th First-team All-Pro selection
   - 2nd time as NFL Defensive Player of the Year
   - NFL sacks leader (20.5)
   - Broke the record for most sacks in a season by a defensive tackle"
2,Drew Brees,Quarterback,New Orleans Saints,,6,[2],"- 12th Pro Bowl selection
   - 4th Second-team All-Pro selection
   - 2nd time as NFL passer rating leader (115.7)
   - 5th time as NFL completion percentage leader (74.4%) which is also an 
   NFL record
   - Broke Peyton Manning's all-time passing yardage
   - Art Rooney Award"
3,Khalil Mack,Linebacker,Chicago Bears,,13,[3],"- 4th Pro Bowl selection
   - 3rd First-team All-Pro selection
   - 2nd Butkus Award (Pro)
   - Became the first player since 1982 to record a sack, forced fumble, a 
   fumble recovery, interception, and touchdown in one half"
4,Patrick Mahomes,Quarterback,Kansas City Chiefs,,NR,[4],"- 1st Pro Bowl selection
   - 2019 Pro Bowl Offensive MVP
   - 1st First-team All-Pro selection
   - AP MVP
   - NFL Offensive Player of the Year
   - NFL passing touchdowns leader (50)
   - Bert Bell Award
   - Most consecutive 300-plus passing yard games (tied at 8)
   - Youngest quarterback to throw for 50 touchdowns in a season
   - Youngest quarterback to throw for 5,000 yards in a season (tied)
   - Second quarterback in NFL history to throw for 5,000+ yards and 50+ 
   touchdowns"
5,Todd Gurley,Running back,Los Angeles Rams,,1,[5],"- 3rd Pro Bowl selection
   - 2nd First-team All-Pro selection
   - 2nd time as NFL rushing touchdowns leader (17)"
6,Tom Brady,Quarterback,New England Patriots,,5,[6],"- 14th Pro Bowl selection
   - Won His NFL Record Sixth Super Bowl"
7,Antonio Brown,Wide receiver,Pittsburgh Steelers,Oakland Raiders / New England Patriots,5,[7],"- 7th Pro Bowl selection
   - NFL receiving touchdowns leader (15)"
8,Aaron Rodgers,Quarterback,Green Bay Packers,,2,[8],"- 7th Pro Bowl selection
   - Broke Tom Brady's NFL record by converting his 359th consecutive pass 
   without an interception
   - Set an NFL record for interception percentage for a season, with only 
   0.335 % of his passes being intercepted"
9,Julio Jones,Wide receiver,Atlanta Falcons,,5,[9],"- 6th Pro Bowl selection
   - 2nd Second-team All-Pro selection
   - Fastest player in NFL history to reach 10,000 career receiving yards 
   (104 games)
   - Only player during the 2018 season to average more than 100 receiving 
   yards per game
   - 2nd time as NFL receiving yards leader (1,677)"
10,Von Miller,Linebacker,Denver Broncos,,1,[10],"- 7th Pro Bowl selection
   - 4th Second-team All-Pro selection"
11,DeAndre Hopkins,Wide receiver,Houston Texans,,2,[11],"- 3rd Pro Bowl selection
   - 2nd First-team All-Pro selection"
12,J. J. Watt,Defensive end,Houston Texans,,72,[12],"- 5th Pro Bowl selection
   - 5th First-team All-Pro selection"
13,Michael Thomas,Wide Receiver,New Orleans Saints,,68,[13],"- 2nd Pro Bowl selection
   - 1st First-team All-Pro selection
   - NFL receptions leader (125)
   - NFL record for most receptions by a player through his first three 
   seasons (321)"
14,Alvin Kamara,Running back,New Orleans Saints,,6,[14],"- 2nd Pro Bowl selection
   - Tied the franchise record for most touchdowns in a single season (14)
   - Became the first player in NFL history to have 1,000 rushing yards and 
   1,000 receiving yards in his first 20 games"
15,Bobby Wagner,Linebacker,Seattle Seahawks,,6,[15],"- 5th Pro Bowl selection
   - 4th First-team All-Pro selection"
16,Saquon Barkley,Running back,New York Giants,,NR,[16],"- 1st Pro Bowl selection
   - Pepsi NFL Rookie of the Year (2018)
   - NFL Offensive Rookie of the Year (2018)
   - PFWA All-Rookie Team (2018)
   - Tied the NFL single game record for catches by a rookie
   - NFL record for most 100+ yards from scrimmage games by a rookie (12 
   games)
   - NFL record for most scrimmage yards by a rookie (2,028;Led NFL in 
   scrimmage yards)
   - Tied with Randy Moss for most 50+ yard touchdowns by a rookie (5)
   - NFL record for most receptions by a rookie running back (91 receptions)"
17,Philip Rivers,Quarterback,Los Angeles Chargers,,39,[17],"- 8th Pro Bowl selection
   - Tied Ryan Tannehill for most straight completions, with 25
   - Set an NFL-record for one incompletion in 29 attempts, for a record 
   96.55%"
18,Ezekiel Elliott,Running back,Dallas Cowboys,,36,[18],"- 2nd Pro Bowl selection
   - 1st Second-team All-Pro selection
   - NFL rushing yards leader (2nd time, 1434 yards)"
19,Tyreek Hill,Wide receiver,Kansas City Chiefs,,21,[19],"- 3rd Pro Bowl selection
   - 2nd First-team All-Pro selection (Flex receiver)"
20,Andrew Luck,Quarterback,Indianapolis Colts*,,NR,[20],"- 4th Pro Bowl selection
   - NFL Comeback Player of the Year (2018)"
