Rank,Player,Position,2017 team,2018 team,Rank change,Reference,Year accomplishments
1,Tom Brady,Quarterback,New England Patriots,,0,1,"- 13th Pro Bowl selection
   - 3rd First-team All-Pro selection
   - AP MVP
   - Passing yards leader"
2,Antonio Brown,Wide receiver,Pittsburgh Steelers,,2,2,"- 6th Pro Bowl selection
   - 4th First-team All-Pro selection
   - First player to ever record 100+ receptions, 1200+ receiving yards and 
   5+ receiving touchdowns in 5 consecutive seasons."
3,Carson Wentz,Quarterback,Philadelphia Eagles,,NR,3,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - Bert Bell Award
   - Super Bowl champion (1st time)"
4,Julio Jones,Wide receiver,Atlanta Falcons,,1,4,"- 5th Pro Bowl selection
   - 1st Second-team All-Pro selection
   - 1 of 2 players to ever record 1400+ receiving yards in 4 consecutive 
   seasons (Marvin Harrison)
   - 1 of 3 players with 1400+ receiving yards, but with <90 catches (Jerry 
   Rice, Randy Moss)"
5,Le'Veon Bell,Running back,Pittsburgh Steelers,,4,5,"- 3rd Pro Bowl selection
   - 2nd First-team All-Pro selection
   - Most average scrimmage yards per game since 2013 (129.0)
   - Most scrimmage yards by a Steeler in his first 5 seasons (7,996 yards)"
6,Todd Gurley,Running back,Los Angeles Rams,,NR,6,"- 2nd Pro Bowl selection
   - 1st First-team All-Pro selection
   - AP OPOY
   - Rushing touchdowns leader
   - All-purpose-yards leader in 2017
   - Highest percentage of team offensive yards in 2017 (5976 of 20983 
   yards, or 35.8%)
   - 4th NFL RB to record 2000+ scrimmage yards and 15+ total touchdowns in 
   a season (Eric Dickerson, Marshall Faulk, Steven Jackson)"
7,Aaron Donald,Defensive tackle,Los Angeles Rams,,8,7,"- 4th Pro Bowl selection
   - 3rd First-team All-Pro selection
   - AP DPOY
   - Leads all DT's with 11 sacks and 27 QB hits in 2017
   - Only player with 25+ QB hits, 10+ sacks and 5 Forced fumbles in 2017"
8,Drew Brees,Quarterback,New Orleans Saints,,8,8,"- 11th Pro Bowl selection
   - 4-time Pass completion percentage leader (72.0%, surpassed his own 
   record set last season)
   - No. 2 Passing yard leader (71,938 yards, behind Peyton Manning, needs 
   1,496 yards to surpass him.)"
9,Von Miller,Linebacker,Denver Broncos,,7,9,"- 6th Pro Bowl selection
   - 3rd Second-team All-Pro selection
   - Most sacks since 2011 (83.5), 4th most all time in 7 seasons (Reggie 
   White, DeMarcus Ware, Derrick Thomas)"
10,Aaron Rodgers,Quarterback,Green Bay Packers,,4,10,"- Highest ever career Passer rating (103.8) and Touchdown-Interception 
   Ratio (313-79)"
11,Russell Wilson,Quarterback,Seattle Seahawks,,13,11,"- 4th Pro Bowl selection
   - NFL passing touchdowns leader (34, his career high)
   - Most wins by QB in first 6 seasons (65)
   - Led all QB's with 134.1 Passer rating in 4th quarter in 2017"
12,Luke Kuechly,Linebacker,Carolina Panthers,,8,12,"- 5th Pro Bowl selection
   - 4th First-team All-Pro selection, first defensive player to do so 
   since 2013
   - Art Rooney Award winner
   - 100+ tackles in all 6 season in NFL
   - Most tackles in NFL since 2012 with 818"
13,DeAndre Hopkins,Wide receiver,Houston Texans,,NR ( 90),13,"- 2nd Pro Bowl selection
   - 1st First-team All-Pro selection
   - 2017 NFL receiving touchdowns leader (13, which is also a Texans 
   franchise record)
   - Only player with 100+ receptions and 10+ receiving touchdowns in 2017
   - No. 103 in the 2017 chart[3]"
14,Calais Campbell,Defensive end,Jacksonville Jaguars,,69,14,"- 3rd Pro Bowl selection
   - 1st First-team All-Pro selection
   - PFWA NFL Defensive Player of the Year"
15,Rob Gronkowski,Tight end,New England Patriots,,8,15,"- 5th Pro Bowl selection
   - 5th First-team All-Pro selection
   - 76 receiving TD's since 2010, 1st in the NFL
   - 3rd all time in career receiving touchdowns by a tight end
   - NFL leader for receiving yards by a tight end in 2017 (1,084)"
16,Khalil Mack,Defensive end,Oakland Raiders,Chicago Bears,11,16,"- 3rd Pro Bowl selection
   - Named in 2 or more separate Pro Bowls in different positions (Defensive 
   end, Outside Linebacker)
   - Traded after the full list was revealed"
17,Jalen Ramsey,Cornerback,Jacksonville Jaguars,,NR,17,"- 1st Pro Bowl selection
   - 1st First-team All-Pro selection"
18,Ben Roethlisberger,Quarterback,Pittsburgh Steelers,,4,18,"- 6th Pro Bowl selection
   - Most 500+ passing yard games in NFL history (3)"
19,Everson Griffen,Defensive end,Minnesota Vikings,,73,19,"- 3rd Pro Bowl selection
   - 1st Second-team All-Pro selection"
20,Alvin Kamara,Running back,New Orleans Saints,,NR,20,"- 1st Pro Bowl Selection
   - Second-team All-Pro (2017)
   - AP NFL Offensive Rookie of the Year (2017)
   - Pepsi NFL Rookie of the Year (2017)
   - PFWA All-Rookie Team (2017)
   - 1st rookie since Gale Sayers to record 5 rushing and receiving 
   touchdowns with a kickoff return touchdown.
   - 1st rookie since Charley Taylor with 700+ rushing and 700+ receiving 
   yards in a season.
   - Leads NFL in yards per carry (6.07), 2nd in rushing touchdowns (14)"
21,Bobby Wagner,Linebacker,Seattle Seahawks,,18,21,"- 4th Pro Bowl selection
   - 3rd First team All-Pro selection"
22,A. J. Green,Wide receiver,Cincinnati Bengals,,5,22,"- 7th Pro Bowl selection
   - 1000 receiving yards in 7 of 8 seasons"
23,Patrick Peterson,Cornerback,Arizona Cardinals,,4,23,"- 7th Pro Bowl selection
   - 5 Career Pro Bowl interceptions"
24,Travis Kelce,Tight end,Kansas City Chiefs,,2,24,"- 3rd Pro Bowl selection
   - Second team All-Pro selection
   - Led all TE's in catches (83) and yards-after-catches"
25,Cam Newton,Quarterback,Carolina Panthers,,19,25,"- Career-high in rushing yards (754 yards)
   - 3rd All-time in rushing yards by a quarterback"
26,Cameron Jordan,Defensive end,New Orleans Saints,,NR,26,"- 3rd Pro Bowl selection
   - 1st First team All-Pro selection
   - 13 sacks in 2017"
27,Larry Fitzgerald,Wide receiver,Arizona Cardinals,,18,27,"- 11th Pro Bowl selection
   - 2nd in Pro Bowl appearances amongst active player on the Top 100 list (Tom 
   Brady, 13)
   - Oldest player to record 100-catch and 1000+ receiving yard and 5+ 
   touchdown season, 3rd consecutive season to reach the mark."
28,Chandler Jones,Defensive end,Arizona Cardinals,,57,28,"- 2nd Pro Bowl selection
   - 1st First team All-Pro selection
   - NFL Sacks leader (17) and Tackles-for-losses leader (28)"
29,Matt Ryan,Quarterback,Atlanta Falcons,,19,29,"- Fastest player to reach 40,000 passing yards (151 games)"
30,LeSean McCoy,Running back,Buffalo Bills,,3,30,"- 6th Pro Bowl selection, with 5th in a row
   - 30th NFL player to rush for 10,000 yards in their career"
31,Matthew Stafford,Quarterback,Detroit Lions,,0,31,"- 31,947 passing yards, 2nd in NFL since 2011 (Drew Brees, 35,179 yards)"
